CNN,SURVEY_SOURCE,PRIMARY_ST,CROSS_STREET_1,CROSS_ST_2,MID_CORRIDOR,TYPE,DIRECTION,DAY,DATE,DAY_OF_WEEK,DAY_OF_MONTH,MONTH,YEAR,ROADWAY_CLASS,DATA_SOURCE,VOLUME_ADT,VOLUME_AM_PEAK,VOLUME_PM_PEAK,85_PERC_SPEED,AVERAGE_SPEED,,,,,,,,,
6184000,SFDPH,GILMAN AVE,DONAHUE ST \ HUNTERS POINT EXPY,EARL ST,,,NB,3,1/5/10,TUESDAY,5,1,2010,,SFMTA IN-HOUSE NEW,,,,49,30,,,,,,,,,
6184000,SFDPH,GILMAN AVE,DONAHUE ST \ HUNTERS POINT EXPY,EARL ST,,,SB,3,1/5/10,TUESDAY,5,1,2010,,SFMTA IN-HOUSE NEW,,,,44,25,,,,,,,,,
7096000,SFDPH,HUNTERS POINT EXPY,DONAHUE ST \ GILMAN AVE,CANDLESTICK POINT SRA,,,NB,5,1/14/10,THURSDAY,14,1,2010,,SFMTA IN-HOUSE NEW,,,,47,27,,,,,,,,,
7096000,SFDPH,HUNTERS POINT EXPY,DONAHUE ST \ GILMAN AVE,CANDLESTICK POINT SRA,,,SB,5,1/14/10,THURSDAY,14,1,2010,,SFMTA IN-HOUSE NEW,,,,40,23,,,,,,,,,
3693203,SFDPH,CARGO WAY,AMADOR ST,03RD ST \ ARTHUR AVE,,,WB,4,2/17/10,WEDNESDAY,17,2,2010,,SFMTA IN-HOUSE NEW,,,,40,24,,,,,,,,,
3693203,SFDPH,CARGO WAY,AMADOR ST,03RD ST \ ARTHUR AVE,,,EB,4,2/17/10,WEDNESDAY,17,2,2010,,SFMTA IN-HOUSE NEW,,,,44,24,,,,,,,,,
19983000,SFDPH,04TH ST,MISSION ROCK ST,CHINA BASIN ST,,,SB,4,6/16/10,WEDNESDAY,16,6,2010,,SFMTA IN-HOUSE NEW,,,,31,20,,,,,,,,,
19983000,SFDPH,04TH ST,MISSION ROCK ST,CHINA BASIN ST,,,NB,4,6/16/10,WEDNESDAY,16,6,2010,,SFMTA IN-HOUSE NEW,,,,30,20,,,,,,,,,
8773201,SFDPH,MARKET ST,HATTIE ST,MERRITT ST,,,EB,3,5/10/11,TUESDAY,10,5,2011,,SFMTA DEPT PARKING AND TRAFFIC,,,,36,26,,,,,,,,,
8773201,SFDPH,MARKET ST,HATTIE ST,MERRITT ST,,,WB,3,5/10/11,TUESDAY,10,5,2011,,SFMTA DEPT PARKING AND TRAFFIC,,,,35,26,,,,,,,,,
7254000,SFDPH,INNES AVE,ARELIOUS WALKER DR,GRIFFITH ST,,,WB,3,6/21/11,TUESDAY,21,6,2011,,SFMTA DEPT PARKING AND TRAFFIC,,,,39,25,,,,,,,,,
