,start_station_name,end_station_name,count,index_x,lat_x,lng_x,index_y,lat_y,lng_y
0,12 St & Sinatra Dr N,11 St & Washington St,31.0,12 St & Sinatra Dr N,40.750615092166825,-74.02405697384529,11 St & Washington St,40.749990333032464,-74.02718736140429
1,14 St Ferry - 14 St & Shipyard Ln,11 St & Washington St,46.0,14 St Ferry - 14 St & Shipyard Ln,40.752916153031606,-74.02431191844445,11 St & Washington St,40.749990333032464,-74.02718736140429
2,4 St & Grand St,11 St & Washington St,28.0,4 St & Grand St,40.742268376059016,-74.03508320196188,11 St & Washington St,40.749990333032464,-74.02718736140429
3,6 St & Grand St,11 St & Washington St,15.0,6 St & Grand St,40.74437858646239,-74.03447839868532,11 St & Washington St,40.749990333032464,-74.02718736140429
4,7 St & Monroe St,11 St & Washington St,20.0,7 St & Monroe St,40.74642493639741,-74.0380286862046,11 St & Washington St,40.749990333032464,-74.02718736140429
5,8 St & Washington St,11 St & Washington St,40.0,8 St & Washington St,40.74598271979199,-74.02816823278691,11 St & Washington St,40.749990333032464,-74.02718736140429
6,9 St HBLR - Jackson St & 8 St,11 St & Washington St,31.0,9 St HBLR - Jackson St & 8 St,40.74793281278844,-74.03841112969273,11 St & Washington St,40.749990333032464,-74.02718736140429
7,Adams St & 11 St,11 St & Washington St,8.0,Adams St & 11 St,40.75086734758054,-74.03356182037257,11 St & Washington St,40.749990333032464,-74.02718736140429
8,Adams St & 2 St,11 St & Washington St,23.0,Adams St & 2 St,40.73979841179733,-74.03689012302054,11 St & Washington St,40.749990333032464,-74.02718736140429
9,Bloomfield St & 15 St,11 St & Washington St,18.0,Bloomfield St & 15 St,40.75450461099914,-74.02657712307197,11 St & Washington St,40.749990333032464,-74.02718736140429
10,Church Sq Park - 5 St & Park Ave,11 St & Washington St,41.0,Church Sq Park - 5 St & Park Ave,40.742657893537604,-74.03224963376663,11 St & Washington St,40.749990333032464,-74.02718736140429
11,City Hall - Washington St & 1 St,11 St & Washington St,92.0,City Hall - Washington St & 1 St,40.73733143020761,-74.03099042544189,11 St & Washington St,40.749990333032464,-74.02718736140429
12,Clinton St & 7 St,11 St & Washington St,21.0,Clinton St & 7 St,40.7454153433474,-74.03333382214838,11 St & Washington St,40.749990333032464,-74.02718736140429
13,Clinton St & Newark St,11 St & Washington St,27.0,Clinton St & Newark St,40.73744627151288,-74.03570246500215,11 St & Washington St,40.749990333032464,-74.02718736140429
14,Columbus Park - Clinton St & 9 St,11 St & Washington St,29.0,Columbus Park - Clinton St & 9 St,40.748178812964326,-74.03245770266106,11 St & Washington St,40.749990333032464,-74.02718736140429
15,Grand St & 14 St,11 St & Washington St,18.0,Grand St & 14 St,40.7540790923323,-74.03159436971573,11 St & Washington St,40.749990333032464,-74.02718736140429
16,Hamilton Park,11 St & Washington St,7.0,Hamilton Park,40.72757525453402,-74.04424621144935,11 St & Washington St,40.749990333032464,-74.02718736140429
17,Hoboken Ave at Monmouth St,11 St & Washington St,26.0,Hoboken Ave at Monmouth St,40.73522741244787,-74.04694300708235,11 St & Washington St,40.749990333032464,-74.02718736140429
18,Hoboken Terminal - Hudson St & Hudson Pl,11 St & Washington St,34.0,Hoboken Terminal - Hudson St & Hudson Pl,40.73593737788959,-74.03032257184493,11 St & Washington St,40.749990333032464,-74.02718736140429
19,Hoboken Terminal - River St & Hudson Pl,11 St & Washington St,168.0,Hoboken Terminal - River St & Hudson Pl,40.73608642790891,-74.02913390169225,11 St & Washington St,40.749990333032464,-74.02718736140429
20,Hudson St & 4 St,11 St & Washington St,89.0,Hudson St & 4 St,40.740954266970824,-74.02859404962996,11 St & Washington St,40.749990333032464,-74.02718736140429
21,Madison St & 1 St,11 St & Washington St,26.0,Madison St & 1 St,40.73878495960618,-74.03927437553686,11 St & Washington St,40.749990333032464,-74.02718736140429
22,Madison St & 10 St,11 St & Washington St,18.0,Madison St & 10 St,40.74996974427502,-74.03586588196806,11 St & Washington St,40.749990333032464,-74.02718736140429
23,Mama Johnson Field - 4 St & Jackson St,11 St & Washington St,21.0,Mama Johnson Field - 4 St & Jackson St,40.74313645259126,-74.04004906146669,11 St & Washington St,40.749990333032464,-74.02718736140429
24,Marshall St & 2 St,11 St & Washington St,19.0,Marshall St & 2 St,40.740765367506214,-74.04254964402006,11 St & Washington St,40.749990333032464,-74.02718736140429
25,Newport PATH,11 St & Washington St,6.0,Newport PATH,40.727220293617044,-74.03375238731287,11 St & Washington St,40.749990333032464,-74.02718736140429
26,Newport Pkwy,11 St & Washington St,12.0,Newport Pkwy,40.72874290486994,-74.03211046211277,11 St & Washington St,40.749990333032464,-74.02718736140429
27,South Waterfront Walkway - Sinatra Dr & 1 St,11 St & Washington St,146.0,South Waterfront Walkway - Sinatra Dr & 1 St,40.73700753288959,-74.02777588542521,11 St & Washington St,40.749990333032464,-74.02718736140429
28,Southwest Park - Jackson St & Observer Hwy,11 St & Washington St,20.0,Southwest Park - Jackson St & Observer Hwy,40.7375689337438,-74.04166100633643,11 St & Washington St,40.749990333032464,-74.02718736140429
29,Stevens - River Ter & 6 St,11 St & Washington St,16.0,Stevens - River Ter & 6 St,40.743144991244904,-74.0269876793701,11 St & Washington St,40.749990333032464,-74.02718736140429
30,Warren St,11 St & Washington St,7.0,Warren St,40.72112066810259,-74.03803718607728,11 St & Washington St,40.749990333032464,-74.02718736140429
31,Washington St,11 St & Washington St,7.0,Washington St,40.724291891746596,-74.03548133892006,11 St & Washington St,40.749990333032464,-74.02718736140429
32,Willow Ave & 12 St,11 St & Washington St,22.0,Willow Ave & 12 St,40.751887812263035,-74.03037017113127,11 St & Washington St,40.749990333032464,-74.02718736140429
33,11 St & Washington St,12 St & Sinatra Dr N,12.0,11 St & Washington St,40.749990333032464,-74.02718736140429,12 St & Sinatra Dr N,40.750615092166825,-74.02405697384529
34,14 St Ferry - 14 St & Shipyard Ln,12 St & Sinatra Dr N,80.0,14 St Ferry - 14 St & Shipyard Ln,40.752916153031606,-74.02431191844445,12 St & Sinatra Dr N,40.750615092166825,-74.02405697384529
35,4 St & Grand St,12 St & Sinatra Dr N,18.0,4 St & Grand St,40.742268376059016,-74.03508320196188,12 St & Sinatra Dr N,40.750615092166825,-74.02405697384529
36,6 St & Grand St,12 St & Sinatra Dr N,22.0,6 St & Grand St,40.74437858646239,-74.03447839868532,12 St & Sinatra Dr N,40.750615092166825,-74.02405697384529
37,7 St & Monroe St,12 St & Sinatra Dr N,28.0,7 St & Monroe St,40.74642493639741,-74.0380286862046,12 St & Sinatra Dr N,40.750615092166825,-74.02405697384529
38,8 St & Washington St,12 St & Sinatra Dr N,76.0,8 St & Washington St,40.74598271979199,-74.02816823278691,12 St & Sinatra Dr N,40.750615092166825,-74.02405697384529
39,9 St HBLR - Jackson St & 8 St,12 St & Sinatra Dr N,33.0,9 St HBLR - Jackson St & 8 St,40.74793281278844,-74.03841112969273,12 St & Sinatra Dr N,40.750615092166825,-74.02405697384529
40,Adams St & 11 St,12 St & Sinatra Dr N,21.0,Adams St & 11 St,40.75086734758054,-74.03356182037257,12 St & Sinatra Dr N,40.750615092166825,-74.02405697384529
41,Adams St & 2 St,12 St & Sinatra Dr N,26.0,Adams St & 2 St,40.73979841179733,-74.03689012302054,12 St & Sinatra Dr N,40.750615092166825,-74.02405697384529
42,Bloomfield St & 15 St,12 St & Sinatra Dr N,28.0,Bloomfield St & 15 St,40.75450461099914,-74.02657712307197,12 St & Sinatra Dr N,40.750615092166825,-74.02405697384529
43,Church Sq Park - 5 St & Park Ave,12 St & Sinatra Dr N,42.0,Church Sq Park - 5 St & Park Ave,40.742657893537604,-74.03224963376663,12 St & Sinatra Dr N,40.750615092166825,-74.02405697384529
44,City Hall,12 St & Sinatra Dr N,6.0,City Hall,40.717730294069206,-74.04387749609651,12 St & Sinatra Dr N,40.750615092166825,-74.02405697384529
45,City Hall - Washington St & 1 St,12 St & Sinatra Dr N,94.0,City Hall - Washington St & 1 St,40.73733143020761,-74.03099042544189,12 St & Sinatra Dr N,40.750615092166825,-74.02405697384529
46,Clinton St & 7 St,12 St & Sinatra Dr N,15.0,Clinton St & 7 St,40.7454153433474,-74.03333382214838,12 St & Sinatra Dr N,40.750615092166825,-74.02405697384529
47,Clinton St & Newark St,12 St & Sinatra Dr N,32.0,Clinton St & Newark St,40.73744627151288,-74.03570246500215,12 St & Sinatra Dr N,40.750615092166825,-74.02405697384529
48,Columbus Drive,12 St & Sinatra Dr N,6.0,Columbus Drive,40.718414308152724,-74.03889053483775,12 St & Sinatra Dr N,40.750615092166825,-74.02405697384529
49,Columbus Park - Clinton St & 9 St,12 St & Sinatra Dr N,31.0,Columbus Park - Clinton St & 9 St,40.748178812964326,-74.03245770266106,12 St & Sinatra Dr N,40.750615092166825,-74.02405697384529
50,Grand St,12 St & Sinatra Dr N,7.0,Grand St,40.71515821580811,-74.03768259947958,12 St & Sinatra Dr N,40.750615092166825,-74.02405697384529
