,start_loc,end_loc,lat_x,lon_x,lat_y,lon_y,count
0, CARMEL VALLEY  RD,SWEETWATER TRAILS ,32.9517747,-117.1943397,32.9672,-117.1998214,1785
1, DR,N/O LA JOLLA VILLAGE  DR,33.0338228,-117.2900304,,,58694
2,01 AV,02 AV,32.7176335,-117.1638174,32.7218565,-117.1629372,88234
3,01 AV,03 AV,32.7176335,-117.1638174,32.7093924,-117.1619341,113946
4,01 AV,04 AV,32.7176335,-117.1638174,32.7415925,-117.1614749,57874
5,01 AV,05 AV,32.7176335,-117.1638174,32.7166889,-117.1597872,16790
6,01 AV,FRONT AV,32.7176335,-117.1638174,32.7151596,-117.1647097,1845
7,01 AV,FRONT ST,32.7176335,-117.1638174,32.7151596,-117.1647097,17903
8,02 AV,03 AV,32.7218565,-117.1629372,32.7093924,-117.1619341,126579
9,03 AV,04 AV,32.7093924,-117.1619341,32.7415925,-117.1614749,71421
10,04 AV,05 AV,32.7415925,-117.1614749,32.7166889,-117.1597872,685305
11,05 AV,04 AV,32.7166889,-117.1597872,32.7415925,-117.1614749,32461
12,05 AV,06 AV,32.7166889,-117.1597872,32.7491277,-117.1595212,746054
13,05 AV,07 AV,32.7166889,-117.1597872,32.7188575,-117.1583629,101749
14,05 AV,08 AV,32.7166889,-117.1597872,32.7162721,-117.1574345,57495
15,06 AV,05 AV,32.7491277,-117.1595212,32.7166889,-117.1597872,6061
16,06 AV,07 AV,32.7491277,-117.1595212,32.7188575,-117.1583629,97112
17,06 AV,ALLEY E/O 06 AV AV,32.7491277,-117.1595212,32.7491277,-117.1595212,9655
18,06 AV,BALBOA DR,32.7491277,-117.1595212,33.186764,-117.303032,19846
19,07 AV,08 AV,32.7188575,-117.1583629,32.7162721,-117.1574345,224758
20,08 AV,09 AV,32.7162721,-117.1574345,32.7181531,-117.1565549,298331
21,08 AV,JUNIPER RD,32.7162721,-117.1574345,32.7293318,-117.1585968,1377
22,09 AV,10  AV,32.7181531,-117.1565549,32.7174202,-117.1627728,10803
23,09 AV,10 AV,32.7181531,-117.1565549,32.7174202,-117.1627728,253140
24,09 AV,RICHMOND ST,32.7181531,-117.1565549,32.749565,-117.151222,67721
25,1 AV,2 AV,32.7181531,-117.1565549,32.7174202,-117.1627728,7522
26,1 AV,3 AV,32.7181531,-117.1565549,32.7174202,-117.1627728,18808
27,10 AV,09 AV,32.7181531,-117.1565549,32.7181531,-117.1565549,19011
28,10 AV,11  AV,32.7174202,-117.1627728,32.7174202,-117.1627728,5272
29,10 AV,11 AV,32.7174202,-117.1627728,32.7174202,-117.1627728,284806
30,10 AV,9 AV,32.7174202,-117.1627728,32.7174202,-117.1627728,17115
31,10 AV,HARBOR DR,32.7174202,-117.1627728,32.7174202,-117.1627728,10181
32,10 AV,MARKET ST,32.7174202,-117.1627728,32.7174202,-117.1627728,2757
33,10 AV,VERMONT ST,32.7174202,-117.1627728,32.746929,-117.153442,64740
34,11 AV,12  AV,32.7174202,-117.1627728,32.7174202,-117.1627728,12624
35,11 AV,12 AV,32.7174202,-117.1627728,32.7174202,-117.1627728,139740
36,11 AV,PARK (12 AV) BL,32.7174202,-117.1627728,32.7174202,-117.1627728,15608
37,11 AV,PARK AV (12 AV) AV,32.7174202,-117.1627728,32.7174202,-117.1627728,34227
38,11 AV,PARK BL,32.7174202,-117.1627728,32.7174202,-117.1627728,120746
39,12 AV,13 AV,32.7174202,-117.1627728,32.7174202,-117.1627728,15103
40,12 AV,13 ST,32.7174202,-117.1627728,32.7174202,-117.1627728,15325
41,12 AV,16 ST,32.7174202,-117.1627728,32.7109896,-117.1494633,56163
42,13 ST,14 ST,32.7174202,-117.1627728,32.7058247,-117.1518866,43838
43,13 ST,PARK  BL,32.7174202,-117.1627728,32.7331897,-117.1459423,11309
44,14 (10) AV,PARK (11) AV,32.715645,-117.1556094,32.7116372,-117.1546797,9852
45,14 ST,13 ST,32.7058247,-117.1518866,32.7174202,-117.1627728,11100
46,14 ST,15 ST,32.7058247,-117.1518866,32.7174202,-117.1627728,266773
47,14 ST,GRANGER ST,32.7058247,-117.1518866,32.7311331,-117.2514915,6429
48,1400' S OF KEARNY MESA RD,MIRAMAR RD,,,32.8938447,-117.1259922,23967
49,1415' S/O WASHINGTON  ST,ENTERPRISE  ST,,,33.1363409,-117.157332,13296
50,1430' S/O OLD MILKY WY, WY,,,32.588242,-117.060966,8672
51,15 ST,16 ST,,,32.588242,-117.060966,10746
52,16  ST,26 ST,,,32.588242,-117.060966,8167
53,16 SB ST,THALIA  ST,,,32.5746993,-117.0979405,23335
54,16 SB ST,THALIA ST,,,32.5746993,-117.0979405,120626
55,16 ST,15 ST,,,32.5746993,-117.0979405,14238
56,16 ST,17  ST,,,32.5746993,-117.0979405,12771
57,16 ST,17 ST,,,32.7189902,-117.148659,267391
58,16 ST,26 ST,32.7109896,-117.1494633,32.9701596,-117.2689154,4203
59,16 ST,GRANGER ST,32.7109896,-117.1494633,32.7311331,-117.2514915,129541
60,16 ST,SIGSBEE ST,32.7109896,-117.1494633,32.70216,-117.149178,6613
61,16 ST,THERMAL AV,32.7109896,-117.1494633,32.569172,-117.097099,137702
62,17 ST,19 ST,32.7109896,-117.1494633,32.569172,-117.097099,61345
63,17 ST,25 ST,32.7189902,-117.148659,32.7176048,-117.140289,13131
64,17 ST,30 ST,32.7189902,-117.148659,32.7483242,-117.1300991,1866
65,17 ST,SD 005  ST,32.7189902,-117.148659,,,8278
66,17 ST,SD 005 ST,32.7189902,-117.148659,,,95127
67,17 ST,SD 015 ST,32.7189902,-117.148659,,,48012
68,18 SB  ST,SATURN BL,32.5801512,-117.0948596,,,9869
69,18 SB ST,SATURN BL,32.5801512,-117.0948596,,,7145
70,18 ST,SATURN BL,32.7174202,-117.1627728,,,142692
71,19 ST,17 ST,32.7174202,-117.1627728,32.7189902,-117.148659,10873
72,19 ST,20 ST,32.7174202,-117.1627728,32.7189902,-117.148659,55797
73,19 ST,25 ST,32.7174202,-117.1627728,32.7189902,-117.148659,5619
74,19TH  ST,20TH  ST,32.7174202,-117.1627728,32.7189902,-117.148659,9801
75,2 AV,3 AV,32.7174202,-117.1627728,32.7174202,-117.1627728,3153
76,21 ST,22 ST,32.7174202,-117.1627728,32.7174202,-117.1627728,52055
77,22 ST,23 ST,32.7174202,-117.1627728,32.7174202,-117.1627728,12095
78,24 ST,25 ST,32.6616815,-117.1078598,32.7176048,-117.140289,48186
79,24 ST,25TH  ST,32.6616815,-117.1078598,32.7176048,-117.140289,5982
80,24 ST,MANNING WY,32.6616815,-117.1078598,32.583897,-117.081383,41068
81,24TH  ST,25TH  ST,32.6616815,-117.1078598,32.583897,-117.081383,4945
82,25 SB ST,27 SB  ST,32.6616815,-117.1078598,32.583897,-117.081383,18454
83,25 SB ST,27 SB ST,32.6616815,-117.1078598,32.583897,-117.081383,94014
84,25 ST,26 ST,32.6616815,-117.1078598,32.583897,-117.081383,18010
85,25 ST,30 ST,32.6616815,-117.1078598,32.583897,-117.081383,5651
86,26  ST,32  ST,32.6616815,-117.1078598,32.583897,-117.081383,11244
87,26 ST,27 ST,32.6616815,-117.1078598,32.583897,-117.081383,103130
88,26 ST,28 ST,32.9701596,-117.2689154,32.7373807,-117.1336351,28366
89,26 ST,JACARANDA DR,32.9701596,-117.2689154,32.640951,-117.064447,81042
90,27 SB ST,DEARBORN DR,32.572815,-117.075447,32.576473,-117.073769,30345
91,27 SB ST,MONTEREY PINE DR,32.572815,-117.075447,32.568142,-117.072037,25540
92,27 ST,28 ST,32.572815,-117.075447,32.568142,-117.072037,55161
93,28 ST,27 ST,32.572815,-117.075447,32.568142,-117.072037,3339
94,28 ST,29  ST,32.572815,-117.075447,32.568142,-117.072037,3188
95,28 ST,29 ST,32.7373807,-117.1336351,32.7431867,-117.1310024,167549
96,28 ST,30 ST,32.7373807,-117.1336351,32.7431867,-117.1310024,2873
97,28 ST,BELT ST,32.7373807,-117.1336351,32.6943428,-117.1451709,25575
98,28 ST,GRANADA AV,32.7373807,-117.1336351,32.7442403,-117.1319147,15137
99,28 ST,HENSLEY  ST,32.7373807,-117.1336351,32.706484,-117.1345679,6393
100,28 ST,SD 015 NB RAMPS ST,32.7373807,-117.1336351,,,34054
101,28 ST,UTAH ST,32.7373807,-117.1336351,32.7485632,-117.1326383,44938
