,loc,total_count,lat,lng,type
0,UNIVERSITY AV,2334840.0,32.7484766,-117.1239509,both
1,BLACK MTN RD,1796266.0,32.9891419,-117.1266465,both
2,05 AV,1727336.0,32.7166889,-117.1597872,both
3,GENESEE AV,1501860.0,32.7914365,-117.1597319,both
4,BALBOA AV,1443930.0,32.8222527,-117.129964,both
5,KEARNY VILLA RD,1403162.0,32.8318334,-117.1383588,both
6,MONTEZUMA RD,1288428.0,32.7699119,-117.0911785,both
7,54 ST,1185625.0,32.7347417,-117.0796148,both
8,FAIRMOUNT AV,1139459.0,32.778221025,-117.09625554999998,both
9,BROADWAY ST,1028638.0,33.172715,-117.36264599999998,both
10,CONVOY ST,973681.0,32.835655,-117.152397,both
11,BEECH ST,954507.0,32.7209467,-117.1601225,both
12,A ST,949336.0,32.7188423,-117.1611101,both
13,C ST,945380.0,32.716789,-117.1630123,both
14,GRAPE ST,921391.0,32.7261645,-117.16024799999998,both
15,WASHINGTON ST,916868.0,32.746245824999995,-117.17510549166668,both
16,MARKET ST,879046.0,32.7116497,-117.130337,both
17,06 AV,878728.0,32.7491277,-117.1595212,both
18,HAWTHORN ST,857196.0,32.7272059,-117.161171,both
19,ROSECRANS ST,856072.0,32.7547067,-117.2018158,both
20,B ST,852027.0,32.7178314,-117.1537011,both
21,04 AV,847061.0,32.7415925,-117.1614749,both
22,GRAND AV,830389.0,32.80193273333333,-117.20839673333334,both
23,G ST,810015.0,32.734406325,-117.22439565,both
24,CARMEL MTN RD,779358.0,32.9632195,-117.132299,both
25,30 ST,771885.0,32.7483242,-117.1300991,both
26,INGRAHAM ST,764521.0,32.7736568,-117.2349913,both
27,FRIARS RD,757232.0,32.7780229,-117.1408109,both
28,43 ST,746170.0,32.7550658,-117.101892,both
29,F ST,743911.0,32.8738044,-117.209694,both
30,REDWOOD ST,731967.0,32.72897425,-117.1247066875,both
31,MOORE ST,729577.0,32.7476631,-117.1924531,both
32,EUCLID AV,727939.0,32.7430299,-117.1882976,both
33,MERCURY ST,725386.0,32.8219016,-117.1488519,both
34,01 AV,724044.0,32.7176335,-117.1638174,both
35,ASH ST,719826.0,32.7199018,-117.1564637,both
36,16 ST,713282.0,32.7109896,-117.1494633,both
37,NOBEL DR,710060.0,32.8684586,-117.2278843,both
38,COLLEGE AV,704676.0,32.788783466666665,-117.13295826666666,both
39,KEARNY MESA RD,703305.0,32.8914291,-117.1184624,both
40,RUFFIN RD,690188.0,32.81274814,-117.12014192,both
41,ROBINSON AV,688391.0,32.746422,-117.1487465,both
42,E ST,672580.0,32.767304,-117.2089706,both
43,MT ALIFAN DR,669492.0,32.817673,-117.178688,both
44,PARK BL,668118.0,32.7331897,-117.1459423,both
45,PRODUCTION AV,665630.0,32.8822812,-117.1658387,both
46,SANTO RD,661716.0,32.7902989,-117.1050947,both
47,10 AV,657022.0,32.7175249,-117.16188452857143,both
48,LAUREL ST,651666.0,32.7313776,-117.1624116,both
49,EASTGATE ML,650808.0,32.8814355,-117.1990651,both
50,09 AV,649006.0,32.7181531,-117.1565549,both
51,CEDAR ST,638304.0,32.7219733,-117.1603253,both
52,REAGAN RD,631535.0,32.9129167,-117.1385089,both
53,FRONT ST,625540.0,32.909882,-117.13784,both
54,PARKDALE AV,623782.0,32.90868,-117.154579,both
55,COLUMBIA ST,611294.0,32.73456673333333,-117.1401974,both
56,11 AV,607751.0,32.7174202,-117.1627728,both
57,LINDA VISTA RD,606508.0,32.7974246,-117.1601845,both
58,33 ST,589854.0,32.7099528,-117.1222721,both
59,GARNET AV,589521.0,32.805519,-117.221603,both
60,08 AV,581961.0,32.7162721,-117.1574345,both
61,LA JOLLA VILLAGE DR,577192.0,32.871796,-117.2313077,both
62,HANCOCK ST,574323.0,32.741159,-117.16655233333334,both
63,MORRELL ST,571675.0,32.796627,-117.23204,both
64,PRINCESS ST,561664.0,32.8490044,-117.2625433,both
65,47 ST,560658.0,32.7083421,-117.0949474,both
66,CAMINO DEL RIO S RD,547488.0,32.7643112,-117.1542034,end_only
67,CABOT DR,546545.0,32.8919367,-117.1440646,both
68,REGENTS RD,539952.0,32.8626995,-117.2226386,both
69,BOND ST,537971.0,32.8055424,-117.2210324,both
70,LINCOLN AV,537360.0,32.7503407,-117.1312925,both
71,CAMINO RUIZ DR,533582.0,32.9246573,-117.14410200000002,both
72,PADGETT ST,515262.0,32.8953861,-117.1269622,start_only
73,RICHMOND ST,509985.0,32.749565,-117.151222,both
74,JEWELL ST,506024.0,32.784294,-117.234802,both
75,MISSION GORGE RD,502311.0,32.8371239,-117.026799,both
