,index,lat,lng
0, CARMEL VALLEY  RD,32.9517747,-117.1943397
1,01 AV,32.7176335,-117.16381740000001
2,02 AV,32.7218565,-117.1629372
3,03 AV,32.7093924,-117.1619341
4,04 AV,32.7415925,-117.1614749
5,05 AV,32.7166889,-117.1597872
6,06 AV,32.7491277,-117.1595212
7,07 AV,32.7188575,-117.1583629
8,08 AV,32.7162721,-117.1574345
9,09 AV,32.7181531,-117.1565549
10,1 AV,32.7181531,-117.1565549
11,10 AV,32.7175249,-117.16188452857143
12,11 AV,32.7174202,-117.1627728
13,12 AV,32.7174202,-117.16277280000001
14,13 ST,32.7174202,-117.1627728
15,14 (10) AV,32.715645,-117.1556094
16,14 ST,32.7058247,-117.1518866
17,16 ST,32.7109896,-117.1494633
18,17 ST,32.71632333333333,-117.1489271
19,19 ST,32.7174202,-117.16277280000001
20,19TH  ST,32.7174202,-117.1627728
21,2 AV,32.7174202,-117.1627728
22,21 ST,32.7174202,-117.1627728
23,22 ST,32.7174202,-117.1627728
24,24 ST,32.6616815,-117.10785979999999
25,24TH  ST,32.6616815,-117.1078598
26,25 SB ST,32.6616815,-117.1078598
27,25 ST,32.6616815,-117.1078598
28,26  ST,32.6616815,-117.1078598
29,26 ST,32.867333566666666,-117.2152302
30,27 SB ST,32.572815,-117.075447
31,27 ST,32.572815,-117.075447
32,28 ST,32.696239275,-117.11908807500001
33,29 ST,32.7431867,-117.13100239999999
34,3 AV,32.7174202,-117.1627728
35,30 SB ST,32.7328722,-117.14643595
36,30 ST,32.7483242,-117.13009910000001
37,30 ST ST,32.7483242,-117.1300991
38,30TH  ST,32.7483242,-117.1300991
39,30th  ST,32.7483242,-117.1300991
40,31 ST,32.72772153333333,-117.15188156666666
41,32 ST,32.7642245,-117.12498320000002
42,33 ST,32.7099528,-117.1222721
43,35 ST,32.7500396,-117.1180499
44,36 ST,32.7548597,-117.1157743
45,37 ST,32.7558008,-117.1136089
46,37 st,32.7558008,-117.1136089
47,38 ST,32.7500652,-117.1118654
48,39 ST,32.7571463,-117.1103992
49,39TH ST,32.7571463,-117.1103992
50,4 AV,32.7174202,-117.1627728
51,40 ,33.2697029,-116.4081049
52,40 ST,32.993561549999995,-116.78543884999999
53,41 ST,32.7531249,-117.10691149999998
54,42 ST,32.7457831,-117.1045088
55,43 ST,32.7550658,-117.101892
56,43RD ST,32.7550658,-117.101892
57,44 ST,32.755704,-117.1002254
58,44TH  ST,32.755704,-117.1002254
59,45 ST,32.7591397,-117.0978007
60,46 ST,32.7530387,-117.0954746
61,47 ST,32.7083421,-117.0949474
62,47TH ST,32.7083421,-117.0949474
63,48 ST,32.7559135,-117.0911278
64,49 ST,32.7223523,-117.0897808
65,5 AV,32.7174202,-117.1627728
66,50 ST,32.744514,-117.087471
67,50TH ST,32.744514,-117.087471
68,51 ST,32.711376,-117.084503
69,52 ST,32.7489909,-117.0836044
70,53 ST,32.739193,-117.081413
71,54  ST,32.7347417,-117.0796148
72,54 ST,32.7347417,-117.0796148
73,55 ST,32.7716241,-117.07632010000002
74,55TH ST,32.7716241,-117.0763201
75,56 ST,32.7585278,-117.0749295
76,58 ST,32.7572006,-117.0728922
77,59 ST,32.7572006,-117.0728922
78,6 AV,32.7174202,-117.1627728
79,60 ST,32.7174202,-117.16277280000001
80,61 ST,32.709409,-117.0667677
81,62 ST,32.7098724,-117.0639631
82,63 ST,32.771397,-117.063217
83,63RD  ST,32.771397,-117.063217
84,65 ST,32.7119471,-117.0580891
85,67 ST,32.764213,-117.0533317
86,68 ST,32.707779,-117.051064
87,7 AV,32.7174202,-117.1627728
88,72 ST,32.769852,-117.042671
89,8 AV,32.769852,-117.042671
90,A  AV,32.6887509,-117.173927
91,A ST,32.7188423,-117.1611101
92,ABBOTSHILL RD,32.785351,-117.149712
93,ACACIA ST,32.7636395,-117.0888215
94,ACE  ST,32.743297,-117.078856
95,ACE ST,32.743297,-117.078856
96,ACENA DR,33.0225777,-117.0701514
97,ACTIVITY RD,32.8970281,-117.1235773
98,ACUNA  ST,32.831844,-117.181343
99,ACUNA ST,32.831844,-117.181343
100,ADAMS  AV,32.7633807,-117.1254226
101,ADAMS AV,32.7633807,-117.1254226
102,ADOBE FALLS RD,32.7815943,-117.083143
103,AERO  DR,32.7815943,-117.083143
104,AERO CT,32.807687,-117.1485239
105,AERO DR,32.8096863,-117.1463609
106,AFTON  RD,32.8081378,-117.1444817
107,AFTON RD,32.8081378,-117.1444817
108,AIRWAY RD,32.5645375,-117.0153262
109,ALAMITOS AV,32.592007,-117.08622
110,ALCONA ST,32.6873553,-117.0435752
111,ALDER  DR,32.7653392,-117.1018224
112,ALDER DR,32.7653392,-117.1018224
113,ALDERLY ST,32.7005594,-117.0646216
114,ALDINE  DR,32.7635355,-117.0978908
115,ALDINE DR,32.7635355,-117.0978908
116,ALLEGHANY ST,32.678719,-117.069359
117,ALLEY N/O VENTURA PL PL,32.7720132,-117.252691
118,ALSACIA  ST,32.68371,-117.038569
119,ALSACIA ST,32.68371,-117.038569
120,ALTA VIEW DR,32.676048,-117.038589
121,ALTA VW DR,32.676048,-117.038589
122,ALTAIR AV,32.87215,-117.117928
123,ALTAMIRANO WY,32.756672,-117.191513
124,ALTAMONT DR,32.680794,-117.067688
125,AMALFI ST,32.848232,-117.26264199999999
126,AMBASSADOR AV,32.903664,-117.147003
127,AMHERST ST,32.7672241,-117.0563791
128,AMPUDIA ST,32.7549272,-117.1888384
129,ANCHORAGE LN,32.7197612,-117.2283302
130,ANCONA LN,32.921505,-117.08271
131,ANDERSON PL,32.74423,-117.1600968
132,ANGELIQUE ST,32.931087,-117.072006
133,ANNRAE ST,32.8019882,-117.1533879
134,ANTIEM ST,32.8153601,-117.1593161
135,APOLLO ST,32.8078572,-117.1625372
136,APPERT CT,32.7937583,-117.1745867
137,APPLETON ST,32.8370723,-117.1871557
138,APRIL CT,32.8501794,-117.204195
139,AQUARIUS DR,32.9302347,-117.1398061
140,AQUITAINE CT,32.9421531,-117.2026661
141,ARAGON  DR,32.84553105,-117.12744455
142,ARAGON DR,32.748909,-117.052223
143,ARANDA AV,32.831402,-117.26944
144,ARBOR DR,32.7538174,-117.1612766
145,ARBUTUS ST,32.8985973,-117.2200679
146,ARCHWOOD AV,32.7935115,-117.0946534
147,ARCTURUS WY,32.9271284,-117.132622
148,ARDATH LN,32.850246,-117.2503787
149,AREY DR,32.5787533,-117.0516959
150,ARIANE DR,32.8277637,-117.2260007
151,ARISTA ST,32.7558832,-117.1894041
152,ARIZONA ST,32.75219,-117.137573
153,ARJONS DR,32.8944372,-117.1472132
154,ARMOUR ST,32.8199884,-117.151969
155,ARMSTRONG ST,32.803557,-117.1628414
156,AROSA ST,32.7652046,-117.0668553
157,ARRIBA ST,32.8614599,-117.2235932
158,ARROW ROCK AV,32.9053448,-117.1403169
159,ARROWWOOD DR,32.700378,-117.031212
160,ARROYO DR,32.628632,-117.026077
161,ARROYO SECO WY,32.6983876,-117.0536488
162,ARTESIAN  RD,33.020065,-117.15242
163,ARTESIAN (FG) TL,33.020065,-117.15242
164,ARUCAUNA WY,32.940216,-117.161087
165,ARVERNE ST,32.8155687,-117.1702889
166,ASH ST,32.7199018,-117.1564637
167,ASHFORD CT,32.8025175,-117.1594217
168,ASHFORD ST,32.8046519,-117.159975
169,ASHLEY FALLS CT,32.958366,-117.207764
170,ASHLEY FALLS DR,32.9525782,-117.2108768
