,Unnamed: 0.1,CNN,PRIMARY_ST,start_loc,end_loc,count,DATE,lat_x,lon_x,lat_y,lon_y
0,0,10816201,QUESADA AVE,3RD ST,NEWHALL ST,298,1/8/2014,37.7770808,-122.3905503,37.7424511,-122.384306
1,5,10816101,QUESADA AVE,3RD ST,NEWHALL ST,342,1/8/2014,37.7770808,-122.3905503,37.7424511,-122.384306
2,10,8166000,LATONA ST,THORNTON AVE,BAYVIEW ST,198,1/8/2014,37.731435,-122.397697,37.73094155,-122.39261241017476
3,12,8166000,LATONA ST,THORNTON AVE,BAYVIEW ST,361,1/8/2014,37.731435,-122.397697,37.73094155,-122.39261241017476
4,14,3300000,BRYANT ST,9TH ST,10TH ST,13635,1/8/2014,37.7714486,-122.408193,37.7689546,-122.4080707
5,16,9031002,MILTON ST,SAN JOSE AVE,BOSWORTH ST,462,1/14/2014,37.7406904,-122.423847,37.7334738,-122.4293591
6,26,9031002,MILTON ST,SAN JOSE AVE,BOSWORTH ST,448,1/15/2014,37.7406904,-122.423847,37.7334738,-122.4293591
7,31,9031002,MILTON ST,SAN JOSE AVE,BOSWORTH ST,441,1/16/2014,37.7406904,-122.423847,37.7334738,-122.4293591
8,34,107000,1ST STREET,HOWARD ST,FOLSOM ST,23850,1/20/2014,37.7533575,-122.4163747,37.7842222,-122.3984442
9,35,8018000,LAKE ST,10TH AVE,11TH AVE,4328,2/24/2014,37.7734042,-122.4680492,37.7769911,-122.4693775
10,37,4806101,DIVISADERO ST,GOLDEN GATE AVE,MCALLISTER ST,10381,3/27/2014,37.7817657,-122.4147017,37.7775839,-122.4384373
11,42,4806101,DIVISADERO ST,GOLDEN GATE AVE,MCALLISTER ST,10209,3/27/2014,37.7817657,-122.4147017,37.7775839,-122.4384373
12,44,8018000,LAKE ST,10TH AVE,11TH AVE,4505,4/3/2014,37.7734042,-122.4680492,37.7769911,-122.4693775
13,45,8011000,LAKE ST,4TH AVE,3RD AVE,4580,4/3/2014,37.7792019,-122.4620198,37.766145,-122.459971
14,46,8011000,LAKE ST,4TH AVE,3RD AVE,4387,4/3/2014,37.7792019,-122.4620198,37.766145,-122.459971
15,47,8018000,LAKE ST,10TH AVE,11TH AVE,4433,4/3/2014,37.7734042,-122.4680492,37.7769911,-122.4693775
16,49,8315000,LEVANT ST,STATES ST,LOWER TERRACE,213,4/3/2014,37.7634194,-122.4360944,37.7632653,-122.4419965
17,50,8315000,LEVANT ST,STATES ST,LOWER TERRACE,172,4/3/2014,37.7634194,-122.4360944,37.7632653,-122.4419965
18,52,8018000,LAKE ST,10TH AVE,11TH AVE,4360,4/24/2014,37.7734042,-122.4680492,37.7769911,-122.4693775
19,63,5679000,FOLSOM ST,4TH ST,5TH ST,19695,5/14/2014,37.7821627,-122.400841,37.7803581,-122.403142
20,64,7048000,HOWARD,7TH ST,8TH ST,12437,5/14/2014,37.7729902,-122.4031376,37.7787088,-122.4147492
21,65,7039001,HOWARD ST,4TH ST,5TH ST,18240,5/14/2014,37.7782151,-122.3965161,37.7793138,-122.4021849
22,66,5679000,FOLSOM ST,9TH ST,10TH ST,16800,5/14/2014,37.77389555,-122.41141117758136,37.7689546,-122.4080707
23,67,9096002,MISSION ST,4TH ST,5TH ST,9227,5/15/2014,37.7846454,-122.4039142,37.7824103,-122.4070623
24,68,3300000,BRYANT ST,9TH ST,10TH ST,14607,5/15/2014,37.7714486,-122.408193,37.7689546,-122.4080707
25,69,6012000,GARFIELD ST,RALSTON ST,BYXBEE ST,1219,5/15/2014,37.7178883,-122.468941,37.7195958,-122.4699723
26,71,6009000,GARFIELD ST,RAMSELL ST,ARCH ST,1503,5/15/2014,37.7107555,-122.4661897,37.7114665,-122.4669896
27,72,6014000,GARFIELD ST,MONTICELLO ST,BEVERLY ST,1148,5/15/2014,37.7195779,-122.4707582,37.7197079,-122.471561
